sp,pollinator,pollen.tot,pollen.germ
Salvia haenkei,Amazilia chionogaster,65,32
Salvia haenkei,Amazilia chionogaster,4,4
Salvia haenkei,Amazilia chionogaster,36,19
Salvia haenkei,Amazilia chionogaster,10,8
Salvia haenkei,Amazilia chionogaster,1,0
Salvia haenkei,Amazilia chionogaster,35,14
Salvia haenkei,Amazilia chionogaster,6,0
Salvia haenkei,Amazilia chionogaster,46,25
Salvia haenkei,Amazilia chionogaster,11,4
Salvia haenkei,Amazilia chionogaster,9,5
Salvia haenkei,Amazilia chionogaster,3,0
Salvia haenkei,Amazilia chionogaster,5,5
Salvia haenkei,Amazilia chionogaster,97,85
Salvia haenkei,Amazilia chionogaster,7,7
Salvia haenkei,Amazilia chionogaster,65,31
Salvia haenkei,Amazilia chionogaster,5,5
Salvia haenkei,Amazilia chionogaster,7,7
Salvia haenkei,Amazilia chionogaster,9,9
Salvia haenkei,Amazilia chionogaster,16,14
Salvia haenkei,Amazilia chionogaster,13,11
Salvia haenkei,Amazilia chionogaster,16,12
Salvia haenkei,Neocorynura sp.,0,0
Salvia haenkei,Neocorynura sp.,0,0
Salvia haenkei,Neocorynura sp.,0,0
Salvia haenkei,Neocorynura sp.,0,0
Salvia haenkei,Neocorynura sp.,2,2
Salvia haenkei,Neocorynura sp.,1,1
Salvia haenkei,Neocorynura sp.,0,0
Salvia haenkei,Neocorynura sp.,4,4
Salvia haenkei,Neocorynura sp.,2,2
Salvia haenkei,Neocorynura sp.,12,7
Salvia haenkei,Neocorynura sp.,0,0
Salvia haenkei,Neocorynura sp.,0,0
Salvia haenkei,Neocorynura sp.,11,4
Salvia haenkei,Neocorynura sp.,3,2
Salvia haenkei,Neocorynura sp.,0,0
Salvia haenkei,Neocorynura sp.,2,2
Salvia haenkei,Neocorynura sp.,1,1
Salvia haenkei,Neocorynura sp.,11,6
Salvia haenkei,Neocorynura sp.,0,0
Salvia haenkei,Neocorynura sp.,34,17
Salvia haenkei,Neocorynura sp.,1,0
