sp,type,replicate,hour,vol.ul,brix,conc_wv,sugar
S. haenkei,acumulada,1,07:00,4.56,27.5,0.305,1.392
S. haenkei,acumulada,2,07:00,6.89,20.9,0.226,1.556
S. haenkei,acumulada,3,07:00,2.90,9.1,0.094,0.273
S. haenkei,acumulada,4,07:00,2.32,37.0,0.429,0.994
S. haenkei,acumulada,5,07:00,1.71,8.3,0.086,0.148
S. haenkei,acumulada,6,07:00,2.46,24.9,0.273,0.672
S. haenkei,acumulada,7,07:00,2.83,24.5,0.269,0.760
S. haenkei,acumulada,8,07:00,0.36,34.6,0.397,0.143
S. haenkei,acumulada,9,07:00,4.58,14.6,0.154,0.706
S. haenkei,acumulada,10,07:00,2.48,32.5,0.370,0.916
S. haenkei,acumulada,1,12:00,2.89,19.3,0.207,0.597
S. haenkei,acumulada,2,12:00,5.40,30.0,0.337,1.817
S. haenkei,acumulada,3,12:00,2.38,33.6,0.384,0.914
S. haenkei,acumulada,4,12:00,1.06,47.3,0.576,0.611
S. haenkei,acumulada,5,12:00,3.47,25.6,0.282,0.980
S. haenkei,acumulada,6,12:00,1.53,27.1,0.301,0.460
S. haenkei,acumulada,7,12:00,0.55,34.3,0.393,0.216
S. haenkei,acumulada,8,12:00,8.99,33.9,0.387,3.481
S. haenkei,acumulada,9,12:00,2.09,28.6,0.319,0.666
S. haenkei,acumulada,10,12:00,13.30,27.2,0.301,4.005
S. haenkei,acumulada,1,15:30,8.63,33.1,0.377,3.258
S. haenkei,acumulada,2,15:30,3.22,22.0,0.238,0.767
S. haenkei,acumulada,3,15:30,3.57,22.1,0.240,0.856
S. haenkei,acumulada,4,15:30,9.19,30.8,0.348,3.196
S. haenkei,acumulada,5,15:30,3.05,28.5,0.318,0.970
S. haenkei,acumulada,6,15:30,1.87,29.7,0.333,0.623
S. haenkei,acumulada,7,15:30,9.61,33.1,0.377,3.626
S. haenkei,acumulada,8,15:30,2.67,29.4,0.329,0.880
S. haenkei,acumulada,9,15:30,3.12,31.1,0.351,1.096
S. haenkei,acumulada,10,15:30,2.84,27.9,0.311,0.883
S. haenkei,repetidas,1,07:00,0.91,25.9,0.286,0.260
S. haenkei,repetidas,2,07:00,1.98,20.0,0.215,0.425
S. haenkei,repetidas,3,07:00,0.97,30.9,0.348,0.338
S. haenkei,repetidas,4,07:00,7.54,23.7,0.259,1.950
S. haenkei,repetidas,5,07:00,1.50,23.0,0.250,0.376
S. haenkei,repetidas,6,07:00,5.45,24.5,0.269,1.464
S. haenkei,repetidas,7,07:00,0.76,34.2,0.391,0.298
S. haenkei,repetidas,8,07:00,1.86,19.3,0.207,0.385
S. haenkei,repetidas,9,07:00,3.00,22.2,0.241,0.722
S. haenkei,repetidas,10,07:00,1.70,16.8,0.179,0.304
S. haenkei,repetidas,1,12:00,8.20,21.7,0.235,1.930
S. haenkei,repetidas,2,12:00,5.85,34.8,0.399,2.334
S. haenkei,repetidas,3,12:00,3.50,35.8,0.412,1.443
S. haenkei,repetidas,4,12:00,0.00,NA,NA,NA
S. haenkei,repetidas,5,12:00,0.00,NA,NA,NA
S. haenkei,repetidas,6,12:00,2.26,22.3,0.243,0.548
S. haenkei,repetidas,7,12:00,3.00,39.4,0.462,1.385
S. haenkei,repetidas,8,12:00,0.00,NA,NA,NA
S. haenkei,repetidas,9,12:00,0.00,NA,NA,NA
S. haenkei,repetidas,10,12:00,0.00,NA,NA,NA
S. haenkei,repetidas,1,15:30,1.50,37.7,0.438,0.657
S. haenkei,repetidas,2,15:30,1.01,35.7,0.411,0.416
S. haenkei,repetidas,3,15:30,1.50,62.3,0.810,1.216
S. haenkei,repetidas,4,15:30,0.60,62.5,0.814,0.488
S. haenkei,repetidas,5,15:30,5.03,33.7,0.385,1.936
S. haenkei,repetidas,6,15:30,0.00,NA,NA,NA
S. haenkei,repetidas,7,15:30,0.00,NA,NA,NA
S. haenkei,repetidas,8,15:30,0.00,NA,NA,NA
S. haenkei,repetidas,9,15:30,0.00,NA,NA,NA
S. haenkei,repetidas,10,15:30,0.00,NA,NA,NA
S. orbignaei,acumulada,1,07:00,15.16,49.0,0.601,9.115
S. orbignaei,acumulada,2,07:00,5.94,33.2,0.378,2.248
S. orbignaei,acumulada,3,07:00,8.92,54.7,0.689,6.145
S. orbignaei,acumulada,4,07:00,2.91,23.9,0.262,0.761
S. orbignaei,acumulada,5,07:00,5.83,53.6,0.672,3.916
S. orbignaei,acumulada,6,07:00,9.15,30.1,0.338,3.094
S. orbignaei,acumulada,7,07:00,4.18,31.1,0.351,1.466
S. orbignaei,acumulada,8,07:00,5.26,27.3,0.302,1.590
S. orbignaei,acumulada,9,07:00,5.46,25.1,0.276,1.509
S. orbignaei,acumulada,10,07:00,2.31,23.4,0.255,0.589
S. orbignaei,acumulada,1,12:00,3.53,36.4,0.421,1.487
S. orbignaei,acumulada,2,12:00,16.23,59.9,0.772,12.528
S. orbignaei,acumulada,3,12:00,1.07,63.3,0.828,0.886
S. orbignaei,acumulada,4,12:00,4.60,40.3,0.474,2.182
S. orbignaei,acumulada,5,12:00,14.64,72.8,0.993,14.537
