sp,hour,flowers,Amazilia chionogaster,Neocorynura_sp,Chlorostilbon_lucidus,Bombus_pauloensis,Apis_mellifera,Toxomerus_sp,Anthophora_sp1_grey,Anthophora_sp2_yellow,Anthophora_sp3_black,Centris_sp,Eucerini,Bombilidae,Vespidae
Salvia haenkei,7:00-8:00,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,7:00-8:00,24,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,7:00-8:00,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,7:00-8:00,34,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,7:00-8:00,51,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,7:00-8:00,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,10:00-11:00,21,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,10:00-11:00,24,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,10:00-11:00,30,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,10:00-11:00,34,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,10:00-11:00,51,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,10:00-11:00,13,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,12:00-13:00,21,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,12:00-13:00,24,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,12:00-13:00,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,12:00-13:00,34,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,12:00-13:00,51,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,12:00-13:00,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,16:00-17:00,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,16:00-17:00,24,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,16:00-17:00,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,16:00-17:00,34,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,16:00-17:00,51,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia haenkei,16:00-17:00,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,7:00-8:00,12,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,7:00-8:00,30,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,7:00-8:00,16,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,7:00-8:00,13,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,7:00-8:00,12,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,7:00-8:00,8,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,10:00-11:00,12,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,10:00-11:00,30,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,10:00-11:00,16,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,10:00-11:00,13,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,10:00-11:00,12,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,10:00-11:00,8,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,12:00-13:00,12,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,12:00-13:00,30,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,12:00-13:00,16,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,12:00-13:00,13,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,12:00-13:00,12,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,12:00-13:00,8,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,16:00-17:00,12,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,16:00-17:00,30,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,16:00-17:00,16,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,16:00-17:00,13,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,16:00-17:00,12,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia orbignaei,16:00-17:00,8,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvia personata,7:00-8:00,25,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,7:00-8:00,10,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,7:00-8:00,20,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,7:00-8:00,15,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,7:00-8:00,25,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,7:00-8:00,10,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,10:00-11:00,25,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,10:00-11:00,10,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
Salvia personata,10:00-11:00,20,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
Salvia personata,10:00-11:00,15,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
Salvia personata,10:00-11:00,25,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA
Salvia personata,10:00-11:00,10,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
Salvia personata,12:00-13:00,25,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
Salvia personata,12:00-13:00,10,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,12:00-13:00,20,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
Salvia personata,12:00-13:00,15,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
Salvia personata,12:00-13:00,25,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
Salvia personata,12:00-13:00,10,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
Salvia personata,16:00-17:00,25,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,16:00-17:00,10,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,16:00-17:00,20,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Salvia personata,16:00-17:00,15,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
